IND,SOC_LABEL,SEX,RACE_HISP,TOTALS
2490,Office and Administrative Support Occupations,1,Hispanic White,39
2490,Office and Administrative Support Occupations,1,Non-Hispanic White,74
2490,Office and Administrative Support Occupations,2,Hispanic Other,124
2490,Office and Administrative Support Occupations,2,Non-Hispanic Black,34
2490,Office and Administrative Support Occupations,2,Non-Hispanic White,156
2490,Production Occupations,1,Hispanic Multiracial,32
2490,Production Occupations,1,Hispanic Other,99
2490,Production Occupations,1,Hispanic White,301
2490,Production Occupations,1,Non-Hispanic Black,152
2490,Production Occupations,1,Non-Hispanic White,604
2490,Production Occupations,2,Hispanic Other,36
2490,Production Occupations,2,Hispanic White,113
2490,Production Occupations,2,Non-Hispanic Black,50
2490,Production Occupations,2,Non-Hispanic White,242
2490,Sales and Related Occupations,1,Non-Hispanic White,23
2490,Sales and Related Occupations,2,Hispanic White,18
2490,Sales and Related Occupations,2,Non-Hispanic White,15
2490,Tarnsportation and Material Moving Occupations,1,Hispanic Other,40
2490,Tarnsportation and Material Moving Occupations,1,Hispanic White,142
2490,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Black,10
2490,Tarnsportation and Material Moving Occupations,1,Non-Hispanic White,89
2490,Tarnsportation and Material Moving Occupations,2,Hispanic Other,21
2490,Tarnsportation and Material Moving Occupations,2,Hispanic White,47
2490,Tarnsportation and Material Moving Occupations,2,Non-Hispanic White,56
2570,Architecture and Engineering Occupations,1,Hispanic White,31
2570,Architecture and Engineering Occupations,1,Non-Hispanic White,55
2570,Architecture and Engineering Occupations,2,Hispanic White,31
2570,"Arts, Design, Entertainment, Sports, and Media Occupations",1,Hispanic White,41
2570,Business and Financial Operations Occupations,1,Non-Hispanic Asian,9
2570,Business and Financial Operations Occupations,1,Non-Hispanic Black,84
2570,Business and Financial Operations Occupations,1,Non-Hispanic White,125
2570,Business and Financial Operations Occupations,2,Non-Hispanic Asian,17
2570,Business and Financial Operations Occupations,2,Non-Hispanic White,40
2570,Computer and Mathematical Occupations,1,Non-Hispanic Asian,58
2570,Computer and Mathematical Occupations,1,Non-Hispanic White,17
2570,Computer and Mathematical Occupations,2,Hispanic White,17
2570,Computer and Mathematical Occupations,2,Non-Hispanic White,146
2570,Construction and Extraction Occupations,1,Hispanic AIAN,10
2570,Construction and Extraction Occupations,1,Non-Hispanic White,80
2570,Food Preparation and Service Occupations,2,Hispanic White,68
2570,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic White,89
2570,Legal Occupations,1,Non-Hispanic White,22
2570,Legal Occupations,2,Non-Hispanic Asian,10
2570,Legal Occupations,2,Non-Hispanic White,18
2570,"Life, Physical, and Social Science Occupations",1,Non-Hispanic White,181
2570,Management Occupations,1,Non-Hispanic White,454
2570,Management Occupations,2,Non-Hispanic Asian,14
2570,Management Occupations,2,Non-Hispanic White,144
2570,Office and Administrative Support Occupations,1,Hispanic White,11
2570,Office and Administrative Support Occupations,1,Non-Hispanic Multiracial,24
2570,Office and Administrative Support Occupations,1,Non-Hispanic White,145
2570,Office and Administrative Support Occupations,2,Hispanic Multiracial,36
2570,Office and Administrative Support Occupations,2,Non-Hispanic Black,36
2570,Office and Administrative Support Occupations,2,Non-Hispanic White,288
2570,Production Occupations,1,Hispanic Other,552
2570,Production Occupations,1,Hispanic White,358
2570,Production Occupations,1,Non-Hispanic Asian,26
2570,Production Occupations,1,Non-Hispanic Black,8
2570,Production Occupations,1,Non-Hispanic White,182
2570,Production Occupations,2,Hispanic White,7
2570,Production Occupations,2,Non-Hispanic Black,10
2570,Sales and Related Occupations,1,Hispanic Other,25
2570,Sales and Related Occupations,1,Non-Hispanic Black,14
2570,Sales and Related Occupations,1,Non-Hispanic Multiracial,6
2570,Sales and Related Occupations,1,Non-Hispanic White,40
2570,Sales and Related Occupations,2,Non-Hispanic White,44
2570,Tarnsportation and Material Moving Occupations,1,Hispanic Other,165
2570,Tarnsportation and Material Moving Occupations,1,Hispanic White,192
2570,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Black,103
2570,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Multiracial,19
2570,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Other,35
2570,Tarnsportation and Material Moving Occupations,1,Non-Hispanic White,1026
2590,Architecture and Engineering Occupations,1,Hispanic White,21
2590,Architecture and Engineering Occupations,1,Non-Hispanic White,56
2590,Architecture and Engineering Occupations,2,Non-Hispanic White,15
2590,"Arts, Design, Entertainment, Sports, and Media Occupations",1,Non-Hispanic White,13
2590,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic Black,14
2590,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic White,30
2590,Business and Financial Operations Occupations,1,Non-Hispanic White,36
2590,Business and Financial Operations Occupations,2,Non-Hispanic White,75
2590,Computer and Mathematical Occupations,1,Non-Hispanic White,17
2590,Construction and Extraction Occupations,1,Non-Hispanic White,56
2590,"Installation, Maintenance, and Repair Occupations",1,Hispanic White,9
2590,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic White,61
2590,Legal Occupations,1,Non-Hispanic White,10
2590,"Life, Physical, and Social Science Occupations",1,Non-Hispanic White,41
2590,Management Occupations,1,Hispanic White,61
2590,Management Occupations,1,Non-Hispanic Asian,12
2590,Management Occupations,1,Non-Hispanic Black,16
2590,Management Occupations,1,Non-Hispanic White,311
2590,Management Occupations,2,Hispanic Other,23
2590,Management Occupations,2,Non-Hispanic White,32
2590,Office and Administrative Support Occupations,1,Non-Hispanic Black,33
2590,Office and Administrative Support Occupations,1,Non-Hispanic White,67
2590,Office and Administrative Support Occupations,2,Hispanic White,31
2590,Office and Administrative Support Occupations,2,Non-Hispanic Multiracial,36
2590,Office and Administrative Support Occupations,2,Non-Hispanic White,140
2590,Production Occupations,1,Hispanic Black,25
2590,Production Occupations,1,Hispanic Other,282
2590,Production Occupations,1,Hispanic White,242
2590,Production Occupations,1,Non-Hispanic Black,49
2590,Production Occupations,1,Non-Hispanic White,401
2590,Production Occupations,2,Hispanic White,36
2590,Production Occupations,2,Non-Hispanic Black,61
2590,Production Occupations,2,Non-Hispanic White,51
2590,Sales and Related Occupations,1,Non-Hispanic White,104
2590,Sales and Related Occupations,2,Non-Hispanic Asian,80
2590,Sales and Related Occupations,2,Non-Hispanic White,52
2590,Tarnsportation and Material Moving Occupations,1,Hispanic Black,22
2590,Tarnsportation and Material Moving Occupations,1,Hispanic Other,155
2590,Tarnsportation and Material Moving Occupations,1,Hispanic White,8
2590,Tarnsportation and Material Moving Occupations,1,Non-Hispanic White,96
2590,Tarnsportation and Material Moving Occupations,2,Non-Hispanic White,24
2670,Architecture and Engineering Occupations,1,Hispanic Other,112
2670,Architecture and Engineering Occupations,1,Hispanic White,93
2670,Architecture and Engineering Occupations,1,Non-Hispanic Asian,93
2670,Architecture and Engineering Occupations,1,Non-Hispanic Black,45
2670,Architecture and Engineering Occupations,1,Non-Hispanic Multiracial,50
2670,Architecture and Engineering Occupations,1,Non-Hispanic White,822
2670,Architecture and Engineering Occupations,2,Hispanic White,47
2670,Architecture and Engineering Occupations,2,Non-Hispanic White,174
2670,Building and Grounds Cleaning and Maintenance Occupations,1,Hispanic Other,89
2670,Building and Grounds Cleaning and Maintenance Occupations,1,Hispanic White,87
2670,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic Black,54
2670,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic Multiracial,5
2670,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic White,379
2670,Building and Grounds Cleaning and Maintenance Occupations,2,Hispanic Black,32
2670,Building and Grounds Cleaning and Maintenance Occupations,2,Non-Hispanic White,13
2670,Business and Financial Operations Occupations,1,Non-Hispanic Asian,7
2670,Business and Financial Operations Occupations,1,Non-Hispanic Black,36
2670,Business and Financial Operations Occupations,1,Non-Hispanic White,449
2670,Business and Financial Operations Occupations,2,Hispanic White,72
2670,Business and Financial Operations Occupations,2,Non-Hispanic Asian,44
2670,Business and Financial Operations Occupations,2,Non-Hispanic Black,108
2670,Business and Financial Operations Occupations,2,Non-Hispanic White,297
2670,Computer and Mathematical Occupations,1,Hispanic Other,9
2670,Computer and Mathematical Occupations,1,Hispanic White,44
2670,Computer and Mathematical Occupations,1,Non-Hispanic Asian,25
2670,Computer and Mathematical Occupations,1,Non-Hispanic Black,34
2670,Computer and Mathematical Occupations,1,Non-Hispanic White,286
2670,Computer and Mathematical Occupations,2,Hispanic White,21
2670,Computer and Mathematical Occupations,2,Non-Hispanic Multiracial,71
2670,Computer and Mathematical Occupations,2,Non-Hispanic White,67
2670,Construction and Extraction Occupations,1,Hispanic Other,51
2670,Construction and Extraction Occupations,1,Hispanic White,57
2670,Construction and Extraction Occupations,1,Non-Hispanic Asian,34
2670,Construction and Extraction Occupations,1,Non-Hispanic Black,102
2670,Construction and Extraction Occupations,1,Non-Hispanic White,1300
2670,Construction and Extraction Occupations,2,Non-Hispanic Black,53
2670,Construction and Extraction Occupations,2,Non-Hispanic White,17
2670,"Educations, Library, and Training Occupations",1,Non-Hispanic White,15
2670,"Educations, Library, and Training Occupations",2,Non-Hispanic White,25
2670,"Farming, Fishing, and Forestry Occupations",1,Non-Hispanic Black,42
2670,Healthcare Support Occupations,2,Non-Hispanic Black,34
2670,"Installation, Maintenance, and Repair Occupations",1,Hispanic AIAN,19
2670,"Installation, Maintenance, and Repair Occupations",1,Hispanic Other,289
2670,"Installation, Maintenance, and Repair Occupations",1,Hispanic White,193
2670,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic Asian,14
2670,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic Black,265
2670,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic Multiracial,31
2670,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic White,2241
2670,"Installation, Maintenance, and Repair Occupations",2,Hispanic White,15
2670,"Installation, Maintenance, and Repair Occupations",2,Non-Hispanic Black,17
2670,"Installation, Maintenance, and Repair Occupations",2,Non-Hispanic White,88
2670,Legal Occupations,1,Non-Hispanic White,14
2670,"Life, Physical, and Social Science Occupations",1,Non-Hispanic Black,95
2670,"Life, Physical, and Social Science Occupations",1,Non-Hispanic White,100
2670,"Life, Physical, and Social Science Occupations",2,Non-Hispanic White,17
2670,Management Occupations,1,Hispanic Other,160
2670,Management Occupations,1,Hispanic White,341
2670,Management Occupations,1,Non-Hispanic Asian,54
2670,Management Occupations,1,Non-Hispanic Black,65
2670,Management Occupations,1,Non-Hispanic Multiracial,6
2670,Management Occupations,1,Non-Hispanic White,2375
2670,Management Occupations,2,Hispanic Other,22
2670,Management Occupations,2,Non-Hispanic White,370
2670,Office and Administrative Support Occupations,1,Hispanic Multiracial,18
2670,Office and Administrative Support Occupations,1,Hispanic Other,97
2670,Office and Administrative Support Occupations,1,Hispanic White,76
2670,Office and Administrative Support Occupations,1,Non-Hispanic Black,320
2670,Office and Administrative Support Occupations,1,Non-Hispanic Multiracial,20
2670,Office and Administrative Support Occupations,1,Non-Hispanic White,941
2670,Office and Administrative Support Occupations,2,Hispanic Other,27
2670,Office and Administrative Support Occupations,2,Hispanic White,184
2670,Office and Administrative Support Occupations,2,Non-Hispanic Asian,63
2670,Office and Administrative Support Occupations,2,Non-Hispanic Black,289
2670,Office and Administrative Support Occupations,2,Non-Hispanic White,935
2670,Personal Care and Service Occupations,1,Non-Hispanic White,22
2670,Production Occupations,1,Hispanic AIAN,26
2670,Production Occupations,1,Hispanic Multiracial,148
2670,Production Occupations,1,Hispanic Other,2054
2670,Production Occupations,1,Hispanic White,1713
2670,Production Occupations,1,Non-Hispanic Asian,92
2670,Production Occupations,1,Non-Hispanic Black,2179
2670,Production Occupations,1,Non-Hispanic White,5370
2670,Production Occupations,2,Hispanic Other,116
2670,Production Occupations,2,Hispanic White,148
2670,Production Occupations,2,Non-Hispanic Black,466
2670,Production Occupations,2,Non-Hispanic White,288
2670,Protective Service Occupations,1,Non-Hispanic Black,22
2670,Protective Service Occupations,1,Non-Hispanic White,41
2670,Protective Service Occupations,2,Non-Hispanic Black,27
2670,Sales and Related Occupations,1,Non-Hispanic Asian,9
2670,Sales and Related Occupations,1,Non-Hispanic Black,21
2670,Sales and Related Occupations,1,Non-Hispanic White,632
2670,Sales and Related Occupations,2,Hispanic White,25
2670,Sales and Related Occupations,2,Non-Hispanic Black,57
2670,Sales and Related Occupations,2,Non-Hispanic White,177
2670,Tarnsportation and Material Moving Occupations,1,Hispanic Multiracial,79
2670,Tarnsportation and Material Moving Occupations,1,Hispanic Other,721
2670,Tarnsportation and Material Moving Occupations,1,Hispanic White,802
2670,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Black,1276
2670,Tarnsportation and Material Moving Occupations,1,Non-Hispanic White,1983
2670,Tarnsportation and Material Moving Occupations,2,Hispanic Asian,18
2670,Tarnsportation and Material Moving Occupations,2,Hispanic White,40
2670,Tarnsportation and Material Moving Occupations,2,Non-Hispanic Black,69
2670,Tarnsportation and Material Moving Occupations,2,Non-Hispanic Multiracial,34
2670,Tarnsportation and Material Moving Occupations,2,Non-Hispanic White,380
2680,Architecture and Engineering Occupations,1,Hispanic Other,22
2680,Architecture and Engineering Occupations,1,Non-Hispanic Asian,17
2680,Architecture and Engineering Occupations,1,Non-Hispanic White,119
2680,Architecture and Engineering Occupations,2,Non-Hispanic Black,48
2680,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic Black,17
2680,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic White,40
2680,Business and Financial Operations Occupations,1,Non-Hispanic White,76
2680,Business and Financial Operations Occupations,2,Non-Hispanic White,68
2680,Computer and Mathematical Occupations,1,Non-Hispanic White,43
2680,Construction and Extraction Occupations,1,Non-Hispanic Black,37
2680,Construction and Extraction Occupations,1,Non-Hispanic White,133
2680,"Installation, Maintenance, and Repair Occupations",1,Hispanic Other,22
2680,"Installation, Maintenance, and Repair Occupations",1,Hispanic White,64
2680,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic White,22
2680,Legal Occupations,1,Non-Hispanic White,27
2680,Management Occupations,1,Hispanic White,35
2680,Management Occupations,1,Non-Hispanic White,136
2680,Management Occupations,2,Non-Hispanic White,51
2680,Office and Administrative Support Occupations,1,Hispanic Other,35
2680,Office and Administrative Support Occupations,2,Non-Hispanic Black,25
2680,Office and Administrative Support Occupations,2,Non-Hispanic White,61
2680,Production Occupations,1,Hispanic Multiracial,69
2680,Production Occupations,1,Hispanic Other,325
2680,Production Occupations,1,Hispanic White,344
2680,Production Occupations,1,Non-Hispanic Asian,27
2680,Production Occupations,1,Non-Hispanic Multiracial,28
2680,Production Occupations,1,Non-Hispanic White,384
2680,Production Occupations,2,Hispanic Other,170
2680,Production Occupations,2,Hispanic White,81
2680,Production Occupations,2,Non-Hispanic AIAN,18
2680,Production Occupations,2,Non-Hispanic Asian,87
2680,Sales and Related Occupations,1,Non-Hispanic White,81
2680,Sales and Related Occupations,2,Non-Hispanic White,17
2680,Tarnsportation and Material Moving Occupations,1,Hispanic Other,12
2680,Tarnsportation and Material Moving Occupations,1,Hispanic White,174
2680,Tarnsportation and Material Moving Occupations,1,Non-Hispanic White,37
2680,Tarnsportation and Material Moving Occupations,2,Hispanic Other,53
2680,Tarnsportation and Material Moving Occupations,2,Hispanic White,89
2680,Tarnsportation and Material Moving Occupations,2,Non-Hispanic Asian,43
2690,Architecture and Engineering Occupations,1,Non-Hispanic White,38
2690,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic White,20
2690,Business and Financial Operations Occupations,1,Non-Hispanic White,43
2690,Business and Financial Operations Occupations,2,Non-Hispanic White,31
2690,Computer and Mathematical Occupations,1,Non-Hispanic White,228
2690,Construction and Extraction Occupations,1,Non-Hispanic White,29
2690,"Installation, Maintenance, and Repair Occupations",1,Hispanic Other,49
2690,"Installation, Maintenance, and Repair Occupations",1,Hispanic White,38
2690,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic White,56
2690,"Installation, Maintenance, and Repair Occupations",2,Non-Hispanic White,30
2690,Management Occupations,1,Non-Hispanic White,232
2690,Management Occupations,2,Non-Hispanic Asian,15
2690,Management Occupations,2,Non-Hispanic White,81
2690,Office and Administrative Support Occupations,1,Hispanic White,32
2690,Office and Administrative Support Occupations,1,Non-Hispanic White,61
2690,Office and Administrative Support Occupations,2,Hispanic Other,9
2690,Office and Administrative Support Occupations,2,Hispanic White,110
2690,Office and Administrative Support Occupations,2,Non-Hispanic White,78
2690,Production Occupations,1,Hispanic Other,224
2690,Production Occupations,1,Hispanic White,109
2690,Production Occupations,1,Non-Hispanic Asian,120
2690,Production Occupations,1,Non-Hispanic Black,93
2690,Production Occupations,1,Non-Hispanic White,294
2690,Production Occupations,2,Hispanic Other,16
2690,Production Occupations,2,Hispanic White,29
2690,Production Occupations,2,Non-Hispanic Black,24
2690,Production Occupations,2,Non-Hispanic White,9
2690,Protective Service Occupations,2,Non-Hispanic Black,11
2690,Sales and Related Occupations,1,Non-Hispanic Asian,52
2690,Sales and Related Occupations,1,Non-Hispanic White,120
2690,Tarnsportation and Material Moving Occupations,1,Hispanic Other,100
2690,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Black,36
2690,Tarnsportation and Material Moving Occupations,1,Non-Hispanic White,73
2690,Tarnsportation and Material Moving Occupations,2,Non-Hispanic White,13
270,Computer and Mathematical Occupations,1,Non-Hispanic White,15
270,"Farming, Fishing, and Forestry Occupations",1,Hispanic Other,47
270,"Farming, Fishing, and Forestry Occupations",1,Non-Hispanic White,58
270,Management Occupations,1,Non-Hispanic White,16
270,Production Occupations,1,Non-Hispanic White,58
270,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Asian,28
2770,Architecture and Engineering Occupations,1,Non-Hispanic Asian,38
2770,Architecture and Engineering Occupations,1,Non-Hispanic White,57
2770,Building and Grounds Cleaning and Maintenance Occupations,2,Non-Hispanic Black,5
2770,Business and Financial Operations Occupations,1,Non-Hispanic Black,16
2770,Business and Financial Operations Occupations,2,Non-Hispanic Asian,19
2770,Business and Financial Operations Occupations,2,Non-Hispanic White,34
2770,Construction and Extraction Occupations,1,Non-Hispanic White,25
2770,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic White,21
2770,Management Occupations,1,Hispanic White,123
2770,Management Occupations,1,Non-Hispanic White,275
2770,Management Occupations,2,Non-Hispanic Black,45
2770,Management Occupations,2,Non-Hispanic White,65
2770,Office and Administrative Support Occupations,1,Hispanic Other,59
2770,Office and Administrative Support Occupations,1,Non-Hispanic White,16
2770,Office and Administrative Support Occupations,2,Hispanic White,34
2770,Office and Administrative Support Occupations,2,Non-Hispanic Asian,34
2770,Office and Administrative Support Occupations,2,Non-Hispanic White,160
2770,Production Occupations,1,Hispanic AIAN,41
2770,Production Occupations,1,Hispanic Multiracial,30
2770,Production Occupations,1,Hispanic Other,576
2770,Production Occupations,1,Hispanic White,259
2770,Production Occupations,1,Non-Hispanic Black,378
2770,Production Occupations,1,Non-Hispanic White,776
2770,Production Occupations,2,Hispanic Other,13
2770,Production Occupations,2,Non-Hispanic AIAN,19
2770,Production Occupations,2,Non-Hispanic White,67
2770,Sales and Related Occupations,1,Non-Hispanic White,61
2770,Sales and Related Occupations,2,Non-Hispanic White,15
2770,Tarnsportation and Material Moving Occupations,1,Hispanic Other,36
2770,Tarnsportation and Material Moving Occupations,1,Hispanic White,123
2770,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Asian,51
2770,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Black,28
2770,Tarnsportation and Material Moving Occupations,1,Non-Hispanic White,39
2770,Tarnsportation and Material Moving Occupations,2,Non-Hispanic Black,83
2770,Tarnsportation and Material Moving Occupations,2,Non-Hispanic White,15
2780,Architecture and Engineering Occupations,1,Hispanic White,28
2780,Architecture and Engineering Occupations,1,Non-Hispanic Asian,38
2780,Architecture and Engineering Occupations,1,Non-Hispanic White,189
2780,Architecture and Engineering Occupations,2,Non-Hispanic White,32
2780,Building and Grounds Cleaning and Maintenance Occupations,1,Hispanic Other,33
2780,Building and Grounds Cleaning and Maintenance Occupations,1,Hispanic White,4
2780,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic Black,12
2780,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic White,15
2780,Business and Financial Operations Occupations,1,Hispanic White,27
2780,Business and Financial Operations Occupations,1,Non-Hispanic White,30
2780,Business and Financial Operations Occupations,2,Non-Hispanic White,129
2780,Computer and Mathematical Occupations,1,Non-Hispanic White,22
2780,Computer and Mathematical Occupations,2,Hispanic White,14
2780,Construction and Extraction Occupations,1,Hispanic White,26
2780,"Installation, Maintenance, and Repair Occupations",1,Hispanic Other,43
2780,Management Occupations,1,Non-Hispanic Asian,35
2780,Management Occupations,1,Non-Hispanic Black,24
2780,Management Occupations,1,Non-Hispanic White,312
2780,Management Occupations,2,Non-Hispanic White,61
2780,Office and Administrative Support Occupations,1,Hispanic Other,25
2780,Office and Administrative Support Occupations,1,Non-Hispanic White,20
2780,Office and Administrative Support Occupations,2,Hispanic AIAN,6
2780,Office and Administrative Support Occupations,2,Hispanic Other,39
2780,Office and Administrative Support Occupations,2,Hispanic White,22
2780,Office and Administrative Support Occupations,2,Non-Hispanic Black,78
2780,Office and Administrative Support Occupations,2,Non-Hispanic White,182
2780,Production Occupations,1,Hispanic Asian,14
2780,Production Occupations,1,Hispanic Other,183
2780,Production Occupations,1,Hispanic White,240
2780,Production Occupations,1,Non-Hispanic Asian,123
2780,Production Occupations,1,Non-Hispanic Black,38
2780,Production Occupations,1,Non-Hispanic White,889
2780,Production Occupations,2,Hispanic AIAN,20
2780,Production Occupations,2,Hispanic Other,38
2780,Production Occupations,2,Hispanic White,74
2780,Production Occupations,2,Non-Hispanic Asian,35
2780,Production Occupations,2,Non-Hispanic White,102
2780,Sales and Related Occupations,1,Hispanic Other,58
2780,Sales and Related Occupations,1,Non-Hispanic White,57
2780,Sales and Related Occupations,2,Non-Hispanic White,46
2780,Tarnsportation and Material Moving Occupations,1,Hispanic Other,32
2780,Tarnsportation and Material Moving Occupations,1,Hispanic White,41
2780,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Asian,26
2780,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Black,23
2780,Tarnsportation and Material Moving Occupations,1,Non-Hispanic White,83
2790,Architecture and Engineering Occupations,1,Non-Hispanic White,69
2790,Architecture and Engineering Occupations,2,Hispanic White,40
2790,Architecture and Engineering Occupations,2,Non-Hispanic Asian,20
2790,"Arts, Design, Entertainment, Sports, and Media Occupations",1,Non-Hispanic Multiracial,22
2790,Business and Financial Operations Occupations,1,Hispanic White,14
2790,Business and Financial Operations Occupations,1,Non-Hispanic White,84
2790,Business and Financial Operations Occupations,2,Non-Hispanic Asian,16
2790,Business and Financial Operations Occupations,2,Non-Hispanic White,24
2790,Computer and Mathematical Occupations,1,Non-Hispanic White,354
2790,Computer and Mathematical Occupations,2,Non-Hispanic Asian,58
2790,Computer and Mathematical Occupations,2,Non-Hispanic Black,63
2790,Computer and Mathematical Occupations,2,Non-Hispanic White,18
2790,Construction and Extraction Occupations,1,Non-Hispanic White,93
2790,Food Preparation and Service Occupations,1,Non-Hispanic White,21
2790,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic White,15
2790,Management Occupations,1,Hispanic White,39
2790,Management Occupations,1,Non-Hispanic Asian,62
2790,Management Occupations,1,Non-Hispanic White,119
2790,Management Occupations,2,Non-Hispanic White,35
2790,Office and Administrative Support Occupations,1,Non-Hispanic Black,134
2790,Office and Administrative Support Occupations,1,Non-Hispanic Multiracial,49
2790,Office and Administrative Support Occupations,1,Non-Hispanic White,336
2790,Office and Administrative Support Occupations,2,Non-Hispanic Black,9
2790,Office and Administrative Support Occupations,2,Non-Hispanic White,125
2790,Production Occupations,1,Hispanic AIAN,29
2790,Production Occupations,1,Hispanic Other,130
2790,Production Occupations,1,Hispanic White,197
2790,Production Occupations,1,Non-Hispanic Asian,28
2790,Production Occupations,1,Non-Hispanic Black,121
2790,Production Occupations,1,Non-Hispanic White,334
2790,Production Occupations,2,Hispanic Other,28
2790,Production Occupations,2,Hispanic White,152
2790,Production Occupations,2,Non-Hispanic Asian,30
2790,Production Occupations,2,Non-Hispanic Black,35
2790,Production Occupations,2,Non-Hispanic White,78
2790,Protective Service Occupations,1,Non-Hispanic White,13
2790,Sales and Related Occupations,1,Non-Hispanic Asian,34
2790,Sales and Related Occupations,1,Non-Hispanic White,15
2790,Sales and Related Occupations,2,Hispanic Other,39
2790,Sales and Related Occupations,2,Non-Hispanic White,15
2790,Tarnsportation and Material Moving Occupations,1,Hispanic White,41
2790,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Black,19
2790,Tarnsportation and Material Moving Occupations,1,Non-Hispanic Multiracial,9
2790,Tarnsportation and Material Moving Occupations,1,Non-Hispanic White,28
2790,Tarnsportation and Material Moving Occupations,2,Hispanic Other,29
2790,Tarnsportation and Material Moving Occupations,2,Hispanic White,16
2790,Tarnsportation and Material Moving Occupations,2,Non-Hispanic Black,19
280,Building and Grounds Cleaning and Maintenance Occupations,2,Non-Hispanic Black,15
280,Computer and Mathematical Occupations,1,Non-Hispanic White,26
280,"Farming, Fishing, and Forestry Occupations",1,Non-Hispanic White,93
280,Management Occupations,1,Non-Hispanic Multiracial,17
280,Management Occupations,2,Non-Hispanic White,16
280,Office and Administrative Support Occupations,2,Non-Hispanic White,20
280,Personal Care and Service Occupations,1,Hispanic White,44
280,Production Occupations,1,Hispanic White,15
280,Protective Service Occupations,1,Non-Hispanic White,28
280,Tarnsportation and Material Moving Occupations,1,Hispanic White,6
2870,Architecture and Engineering Occupations,1,Hispanic Other,62
2870,Architecture and Engineering Occupations,1,Non-Hispanic Asian,48
2870,Architecture and Engineering Occupations,1,Non-Hispanic Black,15
2870,Architecture and Engineering Occupations,1,Non-Hispanic White,428
2870,Architecture and Engineering Occupations,2,Non-Hispanic White,68
2870,"Arts, Design, Entertainment, Sports, and Media Occupations",1,Non-Hispanic White,70
2870,Building and Grounds Cleaning and Maintenance Occupations,1,Hispanic White,32
2870,Building and Grounds Cleaning and Maintenance Occupations,1,Non-Hispanic White,232
2870,Building and Grounds Cleaning and Maintenance Occupations,2,Hispanic White,8
2870,Business and Financial Operations Occupations,1,Hispanic White,19
2870,Business and Financial Operations Occupations,1,Non-Hispanic White,111
2870,Business and Financial Operations Occupations,2,Non-Hispanic Asian,23
2870,Business and Financial Operations Occupations,2,Non-Hispanic White,216
2870,Computer and Mathematical Occupations,1,Non-Hispanic White,53
2870,Construction and Extraction Occupations,1,Hispanic Other,8
2870,Construction and Extraction Occupations,1,Hispanic White,98
2870,Construction and Extraction Occupations,1,Non-Hispanic Asian,29
2870,Construction and Extraction Occupations,1,Non-Hispanic Black,36
2870,Construction and Extraction Occupations,1,Non-Hispanic White,659
2870,Construction and Extraction Occupations,2,Non-Hispanic White,16
2870,"Educations, Library, and Training Occupations",2,Non-Hispanic White,22
2870,"Installation, Maintenance, and Repair Occupations",1,Hispanic White,19
2870,"Installation, Maintenance, and Repair Occupations",1,Non-Hispanic White,273
2870,Management Occupations,1,Hispanic White,83
2870,Management Occupations,1,Non-Hispanic Asian,20
2870,Management Occupations,1,Non-Hispanic Black,24
2870,Management Occupations,1,Non-Hispanic White,969
2870,Management Occupations,2,Non-Hispanic Asian,13
2870,Management Occupations,2,Non-Hispanic White,296
2870,Office and Administrative Support Occupations,1,Hispanic Other,50
2870,Office and Administrative Support Occupations,1,Hispanic White,53
2870,Office and Administrative Support Occupations,1,Non-Hispanic Black,131
2870,Office and Administrative Support Occupations,1,Non-Hispanic White,259
2870,Office and Administrative Support Occupations,2,Hispanic Other,66
